Tarih,Electric Usage (Daily Average 10^5 MWh),Interest Rate,Consumer Trust  Index,"""Renewable Energy"" Google Trends","""Energy Savings"" Google Trends",Electricity Bills 
2016-01,76.5,12.5,91.95,18,85,29
2016-02,72.9,12.9,89.68,24,20,24
2016-03,71.5,13.05,89.87,42,18,20
2016-04,71,12.5,91.25,73,16,17
2016-05,70.6,12.05,91.7,53,16,20
2016-06,76.8,11.5,92.01,16,5,21
2016-07,78.6,11.2,89.66,10,3,24
2016-08,84.7,11.45,95.17,10,2,24
2016-09,70.8,10.9,94.78,12,4,24
2016-10,70.5,11,95.02,16,12,25
2016-11,75.6,11,91.41,17,13,24
2016-12,81.2,11.07,87.01,22,27,26
2017-01,81,11.31,88.39,23,85,29
2017-02,80.2,11.4,87.63,28,32,28
2017-03,76.1,12.2,89.89,49,37,23
2017-04,73.2,13.4,91.95,66,33,17
2017-05,73.7,14.85,94.22,45,24,18
2017-06,75.3,14.9,92.67,15,8,20
2017-07,90.7,14.5,93.21,17,6,26
2017-08,89.9,14,93.49,14,5,24
2017-09,80.5,14.3,92,15,7,22
2017-10,75.8,13.75,89.6,22,19,21
2017-11,80.4,13.9,87.35,23,17,21
2017-12,83.3,15,87.81,25,27,23
2018-01,84.5,14.25,92.38,22,90,26
2018-02,82.9,13.5,92.97,36,28,26
2018-03,79.8,14.6,92.28,61,46,23
2018-04,78.7,14.8,91.65,70,33,19
2018-05,77.3,16.8,90.95,47,25,18
2018-06,79.6,19.75,91.05,15,9,16
2018-07,94.3,19.75,92.92,15,11,22
2018-08,89.2,22,88.7,14,7,22
2018-09,83.6,28.75,81.15,15,10,29
2018-10,75.4,28,78.42,18,20,38
2018-11,79.5,28,80.95,18,28,33
2018-12,82.2,28,79.66,24,44,33
2019-01,83,23.25,80.11,20,90,38
2019-02,82.9,20.5,78.79,40,30,33
2019-03,79.5,20.5,81.1,62,23,26
2019-04,78.1,23,83.61,52,28,23
2019-05,79.4,23.99,77.05,40,23,22
2019-06,80.2,23.85,80.09,16,10,18
2019-07,92,23,78.94,15,8,25
2019-08,88.8,18.5,79.6,14,7,25
2019-09,83.8,15.85,77.64,18,8,25
2019-10,76.6,14.1,78.17,17,18,23
2019-11,79.1,12.6,81.24,21,26,27
2019-12,83.7,11.6,80.49,24,37,24
2020-01,86.2,10.5,81.12,19,77,30
2020-02,85.5,10.25,79.29,32,26,25
2020-03,79.3,11.1,80.98,34,18,31
2020-04,67.2,10,78.18,30,19,47
2020-05,67.1,8.75,82.85,27,21,32
2020-06,79,8.25,82.98,24,16,27
2020-07,92.1,8.5,82.82,18,12,27
2020-08,92.4,12.85,79.77,20,10,29
2020-09,90.8,12.85,81.91,20,8,28
2020-10,80.6,12.95,81.54,18,10,25
2020-11,83.8,16.5,79.98,28,11,24
2020-12,86.5,19,79.8,24,18,33
2021-01,86.2,18,82.87,31,66,28
2021-02,86,18,84.11,32,8,26
2021-03,88.6,19.75,86.63,50,14,20
2021-04,85.3,19.1,80.25,62,18,22
2021-05,80.4,19.6,77.53,37,17,24
2021-06,88.6,19.1,81.97,28,10,22
2021-07,98.2,19.1,80.09,21,8,30
2021-08,104.1,19,78.49,20,8,40
2021-09,91.4,18.75,79.6,26,8,27
2021-10,84.1,18.25,76.46,17,14,24
2021-11,88.2,16.5,70.85,22,15,29
2021-12,92.9,21,68.51,23,28,23
2022-01,91.4,21,72.74,30,100,100
2022-02,90.9,18.75,70.77,56,26,97
2022-03,91.2,18,72.57,82,28,41
2022-04,85.8,17,67.28,67,25,33
2022-05,81.3,18,67.76,53,21,25
2022-06,90.3,18,63.41,29,13,25
2022-07,92.9,20,68.51,22,9,30
2022-08,101.7,21,72.73,21,9,30
2022-09,90.6,21,72.87,30,14,30
2022-10,81,22,76.25,34,23,28
2022-11,82.5,23,76.58,33,26,36
2022-12,86,28,75.38,38,39,37
2023-01,88.1,29,79.1,31,88,35
2023-02,86.4,29,82.5,18,13,38
2023-03,84.5,30,80.13,90,17,32
2023-04,79.2,34,87.52,88,20,25
2023-05,84,41.5,91.06,57,22,22
2023-06,82.8,46.75,85.13,38,13,26
2023-07,101.3,39.75,80.07,39,11,31
2023-08,106.8,38,68.01,39,13,28
2023-09,94.2,42,71.47,51,11,25
2023-10,83.1,47,74.62,44,17,24
2023-11,85.6,53,75.47,35,18,22
2023-12,89.7,47,77.42,38,26,25
2024-01,93.3,47,80.42,32,72,23
